name,park,country,score,status,manufacturer,construction,launch,restraint,type,opening_year,height,speed,length,inversions
Azteka,Le Pal,France,28.1,Operating,Soquet,Steel,Chain lift hill,Lap bar,Family,2003,55.7736,34.175405,1640.4,0
Grizzly,California's Great America ,United States,27.9,Operating,Kings Island,Steel,Chain lift hill,Lap bar,NA,1986,91.8624,55.302019,3251.2728,0
Woodstock Express,Kings Island,United States,27.8,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1972,NA,NA,1348.4088,0
El Diablo,Port Aventura,Spain,27.5,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,1995,55.7736,NA,3307.0464,0
Joyride,PowerPark,Finland,27.5,Operating,L&T Systems,Steel,Chain lift hill,Lap bar,NA,2003,52.4928,NA,918.624,0
Boomerang,Toverland,Netherlands,27.5,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,NA,2001,NA,NA,NA,0
Roller Coaster Mayan,Energylandia,Poland,27.3,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,NA,108.2664,49.70968,2260.4712,5
Dynamite Express,Drievliet Family Park,Netherlands,27.3,Operating,Mack,Steel,Electrical lift hill,Lap bar,E-Powered,2005,36.0888,NA,859.5696,0
Tabalugas Achterbahn,Holiday Park,Germany,27.3,Operating,Zierer,Steel,Booster wheel lift hill,Common lap bar,"Family, Indoor",NA,29.5272,24.85484,728.3376,0
Grottenblitz,Heide Park,Germany,27.2,Operating,Mack,Steel,NA,Lap bar,E-Powered,1985,19.6848,27.961695,1213.896,0
Family Adventure,Mirabilandia,Italy,26.9,Definitely closed,Vekoma,Steel,Booster wheel lift hill,Lap bar,NA,2001,42.6504,28.583066,1099.068,0
Cagliostro,Rainbow MagicLand,Italy,26.9,Operating,Maurer,Steel,Chain lift hill,Lap bar,NA,2011,55.7736,36.039518,1410.744,0
Olandese Volante,Rainbow MagicLand,Italy,26.8,Operating,Vekoma,Steel,Chain lift hill,Lap bar,Mine Train,2011,45.9312,29.825808,2234.2248,0
Silver Streak,Canada's Wonderland,Canada,26.7,Operating,Vekoma,Steel,Booster wheel lift hill,Shoulder harness,Family,NA,49.212,26.097582,1122.0336,0
X-Treme Racer,Legoland Billund,Denmark,26.6,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2002,52.4928,34.796776,1312.32,0
Rioolrat,Avonturenpark Hellendoorn,Netherlands,26.2,Operating,Vekoma,Steel,NA,Lap bar,NA,1996,NA,27.961695,1000.644,0
Mean Streak,Cedar Point,United States,26.2,Retracked,Dinn Corp.,Wooden,Chain lift hill,Lap bar,Twister,1991,160.7592,62.1371,5426.4432,0
RC Racer,Hong Kong Disneyland,China,25.9,Operating,Intamin,Steel,Magnetic Launch (LIM/LSM),Shoulder harness,Half Pipe,2011,82.02,NA,262.464,0
Flight of the Hippogriff,Universal Studios Hollywood,United States,25.7,Operating,Mack,Steel,NA,Lap bar,YoungStar,2016,NA,NA,984.24,0
Runaway Mountain,Six flags Over Texas,United States,25.7,Operating,Premier Rides,Steel,Chain lift hill,Lap bar,NA,1996,52.4928,39.767744,1496.0448,0
Gold Rusher,Six Flags Magic Mountain,United States,25.6,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,1971,68.8968,34.796776,2591.832,0
Disaster Transport,Cedar Point,United States,25.3,Definitely closed,Intamin,Steel,Chain lift hill,Lap bar,NA,1985,62.3352,39.767744,1932.3912,0
Timber Wolf,Worlds of Fun,United States,24.9,Operating,Dinn Corp.,Wooden,Chain lift hill,Lap bar,Twister,1989,101.7048,52.816535,4232.232,0
Bob Express,Bobbejaanland,Belgium,24.8,Operating,Mack,Steel,Electrical lift hill,Lap bar,E-Powered,2000,32.808,22.369356,1709.2968,0
Mighty Canadian Minebuster,Canada's Wonderland,Canada,24.8,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1981,88.5816,55.92339,3828.6936,0
Flying Dutchman Gold Mine,Walibi Holland,Netherlands,24.7,Definitely closed,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2000,45.9312,27.961695,1213.896,0
Trailblazer,Hersheypark,United States,24.6,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,1974,NA,NA,NA,0
Steampunk Hunters,TusenFryd,Norway,24.6,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,NA,2012,42.6504,28.583066,1099.068,0
Grampus Jet,Greenland,Japan,24.6,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,NA,1994,NA,NA,NA,0
Famous jack,Bagatelle,France,24.6,Operating,Reverchon,Steel,Chain lift hill,Lap bar,Wild Mouse,NA,42.6504,29.204437,1377.936,0
Shaman,Gardaland,Italy,24.4,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,1985,98.424,43.49597,2296.56,4
Euro Loop,Europark,France,24.3,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,2004,98.424,40.389115,NA,4
Course de Bobsleigh,Nigloland,France,24.1,Relocated,Schwarzkopf,Steel,Electrical lift hill,Lap bar,NA,1995,49.212,40.389115,1476.36,0
Plohseidon,Freizeitpark Plohn,Germany,24,Operating,Zierer,Steel,Booster wheel lift hill,Lap bar,Family,NA,NA,NA,1640.4,0
Indiana Jones et le Temple du Péril,Disneyland Park,France,23.9,Operating,Intamin,Steel,Chain lift hill,Shoulder harness,Looper,1993,59.0544,36.039518,1856.9328,1
Tornado,Legendia,Poland,23.8,Operating,Soquet,Steel,Chain lift hill,Common shoulder harness,Looper,2007,NA,NA,NA,2
Big Apple Coaster,"New York, New York Hotel & Casino",United States,23.7,Operating,Togo,Steel,Chain lift hill,Shoulder harness,Looper,1997,203.4096,67.108068,4776.8448,2
L'Aérotrain,Parc Saint Paul,France,23.7,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,NA,2014,36.0888,NA,721.776,0
Vertigo,Parque de Atracciones de Madrid,Spain,23.6,Operating,Mack,Steel,Chain lift hill,Common lap bar,Wild Mouse,2009,45.9312,27.961695,1213.896,0
Schlitt' Express,Nigloland,France,23.2,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2007,45.9312,27.961695,1213.896,0
Green Lantern : First Flight,Six Flags Magic Mountain,United States,23.2,Temporarily closed,Intamin,Steel,Chain lift hill,Shoulder harness,ZacSpin,2011,108.2664,37.28226,826.7616,0
Racing,Bakken,Denmark,23,Operating,Zierer,Steel,NA,Unknown,NA,1980,NA,NA,NA,0
Blue Flyer,Blackpool Pleasure Beach,United Kingdom,22.8,Operating,Charles Paige,Steel,Chain lift hill,Lap bar,NA,1934,NA,NA,2296.56,0
Hurler,Kings Dominion,United States,22.6,Retracked,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1994,82.02,49.70968,3156.1296,0
Flying Cobras,Carowinds,United States,22.4,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,"Shuttle, Boomerang",2009,118.1088,47.224196,935.028,3
Dragon,Adventureland,United States,22.4,Operating,Hopkins,Steel,Chain lift hill,Shoulder harness,Looper,1991,88.5816,NA,2250.6288,2
Python,Efteling,Netherlands,22.2,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,1981,95.1432,46.602825,2460.6,4
Dragon,Legoland Florida,United States,22.2,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,NA,2004,42.6504,28.583066,1099.068,0
Euro Speed,Europark,France,22.1,Operating,Mack,Steel,NA,Lap bar,E-Powered,2009,NA,NA,NA,0
Ghoster Coaster,Canada's Wonderland,Canada,22.1,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1981,42.6504,34.796776,1354.9704,0
Monstre,La Ronde,Canada,22,Operating,William J. Cobb,Wooden,Chain lift hill,Lap bar,Twister,1985,127.9512,59.651616,3996.0144,0
Crazy Mine,Hansa Park,Germany,21.8,Operating,Maurer,Steel,Chain lift hill,Lap bar,Wild Mouse,1997,49.212,27.961695,1213.896,0
La Machine à Vapeur,Jardin d'Acclimatation,France,21.7,Operating,Soquet,Steel,Electrical lift hill,Lap bar,E-Powered,1999,NA,24.85484,NA,0
Flagermusen,Farup Sommerland,Denmark,21.7,Operating,Reverchon,Steel,Chain lift hill,Lap bar,NA,2001,42.6504,29.204437,1377.936,0
Dragen,Legoland Billund,Denmark,21.6,Operating,Mack,Steel,Electrical lift hill,Lap bar,E-Powered,1997,NA,NA,NA,0
Project X - Test Strecke,Legoland Deutschland,Germany,21.6,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2002,52.4928,34.796776,1312.32,0
Tickler,Luna Park,United States,21.5,Operating,Zamperla,Steel,Chain lift hill,Shoulder harness,Wild Mouse,2010,NA,NA,NA,0
Sky Spin,Skyline Park,Germany,21.2,Operating,Maurer,Steel,NA,Unknown,NA,2013,NA,NA,NA,0
Hurler,Carowinds,United States,20.9,Operating,CCI,Steel,Chain lift hill,Lap bar,NA,1994,82.02,50.331051,3156.1296,0
Shockwave,Kings Dominion,United States,20.9,Definitely closed,Togo,Steel,Chain lift hill,Shoulder harness,NA,1986,95.1432,50.331051,2230.944,1
Draak,Plopsaland,Belgium,20.6,Operating,Mack,Steel,Electrical lift hill,Lap bar,E-Powered,2004,45.9312,22.369356,1476.36,0
Vilde Mus,Bakken,Denmark,20.5,Operating,Mack,Wild Mouse,NA,None,NA,NA,NA,NA,NA,0
Les Souris Mécaniques,Jardin d'Acclimatation,France,20.5,Operating,Reverchon,Steel,Chain lift hill,Lap bar,Wild Mouse,NA,19.6848,NA,NA,0
Rattlesnake,Chessington World of Adventures,United Kingdom,20.2,Operating,Maurer,Steel,Chain lift hill,Lap bar,Wild Mouse,1998,49.212,27.961695,1213.896,0
Ricochet,Carowinds,United States,20.2,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2002,45.9312,27.961695,1213.896,0
Skull Mountain,Six Flags Great Adventure,United States,20,Operating,Intamin,Wooden,Booster wheel lift hill,Lap bar,Twister,1996,39.3696,32.932663,NA,0
Neo's Twister,PowerPark,Finland,19.9,Operating,Fabbri,Wild Mouse,Chain lift hill,Common lap bar,NA,2011,32.808,NA,1377.936,0
Ghost Chasers,Movie Park Germany,Germany,19.9,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2000,45.9312,27.961695,1213.896,0
Furio,Dennlys Parc,France,19.8,Operating,Soquet,Steel,Chain lift hill,Lap bar,NA,2003,NA,NA,NA,0
Fly,Canada's Wonderland,Canada,19.8,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,1999,52.4928,34.796776,1312.32,0
Viper,Six Flags Magic Mountain,United States,19.7,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1990,187.0056,69.593552,3828.6936,7
Wildcat,Lake Compounce,United States,19.6,Operating,Charlie Dinn,Steel,Chain lift hill,Lap bar,NA,1927,85.3008,47.845567,2746.0296,0
Lost Coaster of Superstition Mountain,Indiana Beach,United States,19.6,Operating,CCI,Wooden,Chain lift hill,Unknown,NA,2002,36.0888,19.883872,1400.9016,0
Déval' Train,Parc des Combes,France,19.5,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,Junior Coaster,2003,29.5272,21.747985,679.1256,0
Scorpion Express,Chessington World of Adventures,United Kingdom,19.4,Operating,Mack,Steel,NA,Lap bar,E-Powered,1987,19.6848,22.369356,803.796,0
Temple of the Night Hawk,Phantasialand,Germany,19.2,Operating,Vekoma,Steel,Chain lift hill,Lap bar,NA,1988,26.2464,31.06855,4199.424,0
Virtual Express,Tibidabo,Spain,18.8,Operating,Zamperla,Steel,Electrical lift hill,Lap bar,E-Powered,NA,NA,NA,NA,0
Enchanted Airways,Universal Studios Singapore,Singapore,18.7,Operating,Vekoma,Steel,Chain lift hill,Lap bar,Family,2010,NA,NA,1148.28,0
Wild Beast,Canada's Wonderland,Canada,18.7,Operating,Philadelphia Toboggan Coaster,Wooden,Chain lift hill,Lap bar,Twister,1981,82.02,55.92339,3149.568,0
Mine Expressen,Farup Sommerland,Denmark,18.5,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,NA,1992,42.6504,28.583066,1099.068,0
Woodstock Express,Cedar Point,United States,18.5,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,Family,1999,42.6504,28.583066,1099.068,0
Gwazi - Tiger,Busch Gardens Tampa,United States,18.4,Definitely closed,GCI,Wooden,Chain lift hill,Lap bar,Twister,1999,88.5816,50.331051,3398.9088,0
Cobra,Tivoli Friheden,Denmark,18.4,Operating,Sartori,Steel,Chain lift hill,Shoulder harness,NA,2008,68.8968,40.389115,1312.32,3
Apple Zapple,Kings Dominion,United States,18.3,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2002,52.4928,34.796776,1312.32,0
Thunder Run,Canada's Wonderland,Canada,18.2,Operating,Mack,Steel,Electrical launch,Lap bar,E-Powered,1981,32.808,39.767744,1082.664,0
Flying Ace Aerial Chase,Kings Island,United States,18,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,NA,2001,49.212,26.097582,1122.0336,0
Vortex,Carowinds,United States,17.9,Operating,B&M,Steel,Chain lift hill,Shoulder harness,NA,1992,88.5816,50.331051,2040.6576,2
Express,Fraispertuis City,France,17.8,Relocated,Soquet,Steel,Chain lift hill,Lap bar,NA,1987,NA,NA,NA,0
Le Vol d'Icare,Parc Asterix,France,17.6,Operating,Zierer,Steel,Booster wheel lift hill,Lap bar,Family,NA,36.0888,26.097582,1345.128,0
Woodstock Express,Walibi Rhône Alpes,France,17.4,Operating,Zamperla,Steel,Chain lift hill,Lap bar,Wild Mouse,2002,NA,NA,721.776,0
Wild Mouse,Dorney Park,United States,17.4,Operating,Maurer,Steel,Chain lift hill,Lap bar,Wild Mouse,2000,49.212,27.961695,1213.896,0
Dragon,La Ronde,Canada,17.4,Operating,Intamin,Steel,Booster wheel lift hill,Lap bar,NA,1994,NA,NA,NA,0
Comet,Walygator Parc,France,17.4,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,NA,78.7392,39.767744,NA,3
Wild Mouse,Hersheypark,United States,17.3,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,1999,45.9312,27.961695,1213.896,0
Rollerskater,Plopsaland,Belgium,17.3,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,NA,1990,42.6504,27.961695,1099.068,0
Canopy Flyer,Universal Studios Singapore,Singapore,17.1,Operating,SetPoint,Steel,Chain lift hill,Lap bar,Family,NA,NA,NA,NA,0
Ednör,La Ronde,Canada,17,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,NA,111.5472,49.70968,2260.4712,5
Donderstenen,Avonturenpark Hellendoorn,Netherlands,17,Operating,Zierer,Steel,Booster wheel lift hill,Lap bar,NA,2005,29.5272,24.233469,728.3376,0
Sand Serpent,Busch Gardens Tampa,United States,17,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2004,45.9312,27.961695,1213.896,0
Maskerade,Wiener Prater,Austria,17,Operating,Gerstlauer,Steel,Vertical lift,Lap bar,Indoor,NA,32.808,24.85484,774.2688,0
Tulireki,Linnanmäki,Finland,17,Operating,Mack,Steel,NA,Lap bar,NA,2004,55.7736,36.039518,1102.3488,0
Green Scream,Adventure Island,United Kingdom,16.5,Operating,Zierer,Steel,Booster wheel lift hill,Lap bar,NA,1999,NA,NA,NA,0
Brontojet,Movieland Park,Italy,16.3,Operating,Schwarzkopf,Steel,Electrical lift hill,Lap bar,NA,2010,36.0888,NA,1361.532,0
Pikajuna,Linnanmäki,Finland,16.3,Operating,Mack,Steel,Electrical lift hill,Lap bar,E-Powered,1990,22.9656,22.990727,961.2744,0
Corkscrew,Alton Towers,United Kingdom,15.9,Definitely closed,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,1980,75.4584,39.767744,2401.5456,2
The Walking Dead - The Ride,Thorpe Park,United Kingdom,15.9,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,"Family, Indoor",1996,42.6504,27.961695,1312.32,0
Sky Rider,Skyline Park,Germany,15.9,Operating,Caripro,Steel,Vertical lift,Lap bar,NA,2001,NA,NA,NA,0
Carolina Goldrusher,Carowinds,United States,15.7,Operating,Arrow,Hybrid,Chain lift hill,Lap bar,Mine Train,1973,NA,NA,2398.2648,0
Kung Fu Panda Master,Gardaland,Italy,15.6,Operating,Fabbri,Steel,Chain lift hill,Lap bar,NA,2016,45.9312,7.456452,NA,0
Wild Mouse,Beech Bend,United States,15.6,Operating,Zamperla,Steel,Chain lift hill,Lap bar,Wild Mouse,2005,42.6504,29.204437,1377.936,0
Dragon Fire,Canada's Wonderland,Canada,15.5,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1981,78.7392,50.331051,2158.7664,4
G Force,Drayton Manor,United Kingdom,15.5,Temporarily closed,Maurer,Steel,Chain lift hill,Lap bar,Looper,2005,82.02,43.49597,1263.108,3
Canyon Blaster,Great Escape,United States,15.3,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,2003,55.7736,44.738712,2001.288,0
Speedy Bob (Left),Bobbejaanland,Belgium,14.9,Definitely closed,Mack,Steel,Chain lift hill,Common lap bar,Wild Mouse,NA,45.9312,27.961695,1213.896,0
Big Loop,Heide Park,Germany,14.9,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,1983,98.424,39.146373,2316.2448,4
La Souris verte,Parc Saint Paul,France,14.6,Operating,Zamperla,Steel,Chain lift hill,Lap bar,Wild Mouse,2007,42.6504,33.554034,NA,0
Demon,Six Flags Great America,United States,14.6,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1976,101.7048,50.331051,2129.2392,4
Cedar Creek Mine Ride,Cedar Point,United States,14.6,Operating,Arrow,Hybrid,Chain lift hill,Lap bar,Mine Train,1969,49.212,31.06855,2539.3392,0
Tig'rr Coaster,Indiana Beach,United States,14.4,Operating,Schwarzkopf,NA,Chain lift hill,Lap bar,NA,1984,45.9312,31.06855,1765.0704,0
Anaconda,Kings Dominion,United States,14.2,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1991,144.3552,50.331051,2700.0984,4
Tokio express,Foire,N/A,14.2,Operating,Soquet,Steel,Electrical launch,Lap bar,"E-Powered, Family",1992,NA,NA,NA,0
Tornado,Adventureland,United States,14.1,Operating,William J. Cobb,Steel,Chain lift hill,Lap bar,NA,1978,91.8624,57.787503,2841.1728,0
Gadget's Go Coaster,Disneyland,United States,14.1,Operating,Vekoma,Steel,Booster wheel lift hill,Lap bar,NA,1993,29.5272,21.747985,679.1256,0
Dragon,Jardin d'Acclimatation,France,13.9,Operating,Soquet,Steel,Chain lift hill,Lap bar,NA,1987,16.404,NA,656.16,0
Gotham City Gauntlet: Escape from Arkham Asylum,Six Flags New England,United States,13.7,Operating,Maurer,Steel,Chain lift hill,Lap bar,Wild Mouse,2011,49.212,27.961695,1213.896,0
Gwazi - Lion,Busch Gardens Tampa,United States,13.7,Definitely closed,GCI,Wooden,Chain lift hill,Lap bar,Twister,1999,104.9856,49.70968,3510.456,0
Rolling Thunder,Six Flags Great Adventure,United States,13.6,Definitely closed,Don Rosser & Bill Cobb,Wooden,Chain lift hill,Lap bar,Twister,1979,95.1432,55.92339,3198.78,0
Gruvbanan,Skara Sommarland,Sweden,13.6,Operating,Mack,E-Powered,NA,Common lap bar,NA,1987,NA,NA,NA,0
Twistrix,Drievliet Family Park,Netherlands,13.3,Operating,Maurer,Steel,Booster wheel lift hill,Lap bar,NA,2001,NA,NA,NA,0
Boomerang,Bellewaerde,Belgium,13,Operating,Vekoma,Steel,Cable lift hill,Shoulder harness,"Shuttle, Boomerang",1984,118.1088,47.224196,935.028,3
Dream Hunters Society,Legendia,Poland,13,Operating,Unknown,Steel,Chain lift hill,Common lap bar,Zyklon Z47,NA,NA,NA,NA,0
Vortex,Kings Island,United States,12.8,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1987,147.636,55.302019,3799.1664,6
Canyon Blaster,Adventuredome,United States,12.8,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1993,95.1432,41.010486,2424.5112,4
Silver Mine,Freizeitpark Plohn,Germany,12.8,Definitely closed,Zierer,Steel,Chain lift hill,Common lap bar,"Flitzer, Family",2000,NA,NA,NA,0
Le Train de la Mine,Cigoland,France,12.7,Operating,Soquet,Steel,NA,Lap bar,Mine Train,2002,22.9656,22.369356,NA,0
Dizzy Mouse,Wiener Prater,Austria,12.6,Operating,Reverchon,Steel,Chain lift hill,Lap bar,Wild Mouse,NA,42.6504,29.204437,1377.936,0
Tyfonen,Tivoli Friheden,Denmark,12.6,Operating,Zamperla,Steel,Chain lift hill,Lap bar,Wild Mouse,2006,42.6504,29.204437,1377.936,0
Runaway Mine Train,Six Flags Great Adventure,United States,12.4,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,1974,NA,37.903631,NA,0
Formula One,Magic Park Land,France,12.3,Operating,Fabbri,Steel,Chain lift hill,Shoulder harness,Wild Mouse,NA,42.6504,29.204437,1377.936,0
Primeval Whirl,Disney's Animal Kingdom,United States,12.2,Operating,Reverchon,Steel,Chain lift hill,Lap bar,NA,2002,42.6504,29.204437,1377.936,0
Speedy Bob (Right),Bobbejaanland,Belgium,12,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,NA,45.9312,27.961695,1213.896,0
Gold Digger,Mirabilandia,Italy,11.9,Operating,L&T Systems,Steel,Chain lift hill,Lap bar,Wild Mouse,1998,49.212,21.747985,1181.088,0
Tornado,Avonturenpark Hellendoorn,Netherlands,11.9,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,1990,82.02,43.49597,1509.168,2
Kopermijn,Drievliet Family Park,Netherlands,11.8,Operating,Maurer,Steel,Chain lift hill,Lap bar,Wild Mouse,1996,49.212,27.961695,1213.896,0
Drakkar,Didiland,France,11.7,Operating,Soquet,Steel,Chain lift hill,Common lap bar,Junior Coaster,2000,NA,NA,NA,0
Infusion,Blackpool Pleasure Beach,United Kingdom,11.6,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,NA,2007,111.5472,49.70968,2260.4712,5
Primeval Whirl (2),Disney's Animal Kingdom,United States,11.4,Operating,Reverchon,Steel,Chain lift hill,Lap bar,Wild Mouse,NA,42.6504,29.204437,1377.936,0
Sequoia Adventure,Gardaland,Italy,11.4,Temporarily closed,S&S,Steel,NA,Shoulder harness,Screaming Squirrel,2005,98.424,NA,NA,0
Goofy's Sky School,Disney California Adventure,United States,11.3,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2001,NA,27.340324,NA,0
Super Manège,La Ronde,Canada,11.1,Operating,Vekoma,Steel,Chain lift hill,Lap bar,Looper,1981,75.4584,39.767744,2401.5456,2
Soarin' Eagle,Luna Park,United States,10.9,Operating,Zamperla,Steel,Spiral lift,Flying restraint,NA,2011,49.212,25.476211,1282.7928,2
Wild Mouse,Nagashima Spa Land,Japan,10.7,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,1996,45.9312,NA,1213.896,0
Crazy Mouse (Degousse),Foire,N/A,10.7,Operating,Reverchon,Steel,NA,Unknown,NA,NA,NA,NA,NA,0
Rockstar Coaster,Fun Spot Kissimmee,United States,10.5,Operating,Zamperla,NA,NA,None,NA,2011,42.6504,29.204437,1377.936,0
Puss in Boots Giant Journey,Universal Studios Singapore,Singapore,10.4,Operating,Zamperla,Steel,Spiral lift,None,Family,NA,55.7736,NA,1400.9016,0
River King Mine Train,Six Flags St Louis,United States,10.3,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,1971,42.6504,37.28226,2499.9696,0
Wild Mouse,Flamingo Land Theme Park and Zoo,United Kingdom,10.3,Definitely closed,Maurer,Steel,Chain lift hill,Lap bar,Wild Mouse,1997,49.212,27.961695,1213.896,0
Wilde Maus,Wiener Prater,Austria,10.3,Operating,Maurer,Steel,Chain lift hill,Lap bar,Wild Mouse,1997,49.212,27.961695,1213.896,0
Toboggan Nordique,La Ronde,Canada,10.1,Operating,Zamperla,Steel,Chain lift hill,Lap bar,Wild Mouse,2003,42.6504,11.184678,885.816,0
Goudurix,Parc Asterix,France,10,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,NA,121.3896,46.602825,3116.76,7
Dream catcher,Bobbejaanland,Belgium,10,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,NA,1987,82.02,27.961695,1968.48,0
Kiddy Hawk,Carowinds,United States,9.6,Operating,Vekoma,Steel,Booster wheel lift hill,Shoulder harness,Family,NA,49.212,26.097582,1122.0336,0
Boomerang,Knott's Berry Farm,United States,9.5,Definitely closed,Vekoma,Steel,Cable lift hill,Shoulder harness,"Shuttle, Boomerang",1990,118.1088,47.224196,935.028,3
Runaway Mine Train,Six flags Over Texas,United States,9.4,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,1966,36.0888,NA,2398.2648,0
Crazy Coaster,South Pier,United Kingdom,9.2,Operating,Reverchon,NA,NA,Lap bar,NA,2018,NA,NA,NA,0
Coast Rider,Knott's Berry Farm,United States,9.1,Operating,Mack,Steel,Chain lift hill,Lap bar,Wild Mouse,2013,52.4928,NA,1345.128,0
Train de la Mine,Papea Parc,France,8.8,Operating,Soquet,Steel,Chain lift hill,Lap bar,Family,1995,NA,NA,NA,0
Crazy Mouse,Foire,N/A,8.8,Operating,Reverchon,Steel,Chain lift hill,Lap bar,NA,1996,42.6504,31.06855,1377.936,0
Pegasus,Efteling,Netherlands,8.6,Definitely closed,Dinn Corp.,Wooden,Chain lift hill,Lap bar,Twister,1991,49.212,34.175405,1614.1536,0
Bandit,Movie Park Germany,Germany,8.2,Operating,RCCA,Wooden,Chain lift hill,Lap bar,Twister,1999,91.8624,49.70968,3605.5992,0
Orkanens Øje,Tivoli Friheden,Denmark,8,Operating,Pinfari,Steel,Chain lift hill,Lap bar,Looper,1986,36.0888,NA,1197.492,1
Cobra,Walibi Belgium,Belgium,7.9,Operating,Vekoma,Steel,Cable lift hill,Shoulder harness,"Shuttle, Boomerang",2001,118.1088,47.224196,935.028,3
Buffalo Mountain Coaster,Drayton Manor,United Kingdom,7.9,Operating,Zamperla,Steel,NA,Lap bar,E-Powered,1987,NA,NA,NA,0
Turbo coaster,Brighton pier,United Kingdom,7.8,Operating,Pinfari,Steel,Chain lift hill,Shoulder harness,Looper,NA,36.0888,NA,1197.492,1
Sidewinder,Hersheypark,United States,7.6,Operating,Vekoma,Steel,Cable lift hill,Lap bar,Shuttle,1991,118.1088,47.224196,935.028,3
Holly's Wilde Autofahrt,Holiday Park,Germany,7.1,Definitely closed,Maurer,Steel,Chain lift hill,Lap bar,Wild Mouse,2010,49.212,27.961695,1213.896,0
Dahlonega Mine Train,Six Flags Over Georgia,United States,7,Operating,Arrow,Steel,Chain lift hill,Lap bar,Mine Train,1967,36.0888,29.204437,2322.8064,0
Anaconda,Walygator Parc,France,6.9,Operating,William J. Cobb,Wooden,Chain lift hill,Lap bar,Out & Back,1989,114.828,52.816535,3936.96,0
Boomerang Coast to Coaster,Great Escape,United States,6.8,Operating,Vekoma,Steel,Cable lift hill,Shoulder harness,Shuttle,1997,118.1088,47.224196,935.028,3
Nitro,Dennlys Parc,France,6.8,Operating,Preston & Barbieri,Steel,Chain lift hill,Lap bar,NA,2010,32.808,31.06855,1509.168,0
Bat,Canada's Wonderland,Canada,6.7,Operating,Vekoma,Steel,Cable lift hill,Shoulder harness,"Shuttle, Boomerang",1987,118.1088,47.224196,935.028,3
